photo_filename,party,election_count,photo_url,gender,unit,monaCd,committees,region,rownum,unitCd,election_method,name
김윤덕.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/dea1db9948874498ad1aa3a24c7409a3.jpg,,제22대,61,,,,100022,,김윤덕
김은혜.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/2d0fedee640c4683b571177b2f21e1c2.jpg,,제22대,62,,,,100022,,김은혜
김장겸.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/51872f0dbc5948d0b7e94700969cf6ec.jpg,,제22대,63,,,,100022,,김장겸
김재섭.png,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/4dda6952ecb54d03a2bfc80764322300.png,,제22대,64,,,,100022,,김재섭
김재원.png,조국혁신당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/180a8fbbf0154728b747efe1d19490eb.png,,제22대,65,,,,100022,,김재원
김정재.png,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/82a52130b3cd42949f08c91c95b1bd54.png,,제22대,66,,,,100022,,김정재
김정호.png,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/7d6d00c690814834bdd1fb1c5905a5ef.png,,제22대,67,,,,100022,,김정호
김종민.png,무소속,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/33a7a75a274846b7981941b4c5ea6971.png,,제22대,68,,,,100022,,김종민
김종양.jpg,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/d552d62c9a174c3e95f785adaeb18ccf.jpg,,제22대,69,,,,100022,,김종양
김주영.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/a3a36296e15c4c2990676f4047e80a4b.jpg,,제22대,70,,,,100022,,김주영
김준혁.JPG,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/d2a9aad5f1d849aa91699672ace4586f.JPG,,제22대,71,,,,100022,,김준혁
김준형.jpg,조국혁신당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/7e2d7f243fdf4eaba8fb034549668444.jpg,,제22대,72,,,,100022,,김준형
김태년.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/f8d696606fc742ec87659bd32ff95ae6.jpg,,제22대,73,,,,100022,,김태년
김태선.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/dad545c45b274b35bf2e336bee9b68ed.jpg,,제22대,74,,,,100022,,김태선
김태호.png,국민의힘,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/f400573a310e49048ac59ffe27438e82.png,,제22대,75,,,,100022,,김태호
김한규.jpg,더불어민주당,,https://www.assembly.go.kr/static/portal/img/openassm/new/thumb/c5607570161f4879b98311c104e21485.jpg,,제22대,76,,,,100022,,김한규
